model,params,params_json,f1
MLP,"layers=(256, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(256, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(256, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(256, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(512, 1024, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(512, 1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(512, 512, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(512, 1024, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853750358172777
MLP,"layers=(256, 1024, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853673587989413
MLP,"layers=(256, 1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853673587989413
MLP,"layers=(256, 256, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853673587989413
MLP,"layers=(256, 1024, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853673587989413
MLP,"layers=(512, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853673587989413
MLP,"layers=(512, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853673587989413
MLP,"layers=(512, 256, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853668348622682
MLP,"layers=(1024, 1024, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853667731978658
